hour,hour_scaled,temperature,humidity,wind_speed,working_day,rental_count,target_scaled
0,0.0,0.24,0.81,0,0,16,0.016
1,0.043478260869565216,0.22,0.8,0,0,40,0.04
2,0.08695652173913043,0.22,0.8,0,0,32,0.032
3,0.13043478260869565,0.24,0.75,0,0,13,0.013
4,0.17391304347826086,0.24,0.75,0,0,1,0.001
5,0.21739130434782608,0.24,0.75,0.0896,0,1,0.001
6,0.2608695652173913,0.22,0.8,0,0,2,0.002
7,0.30434782608695654,0.2,0.86,0,0,3,0.003
8,0.34782608695652173,0.24,0.75,0,0,8,0.008
9,0.391304347826087,0.32,0.76,0,0,14,0.014
10,0.43478260869565216,0.38,0.76,0.2537,0,36,0.036
11,0.4782608695652174,0.36,0.81,0.2836,0,56,0.056
12,0.5217391304347826,0.42,0.77,0.2836,0,84,0.084
13,0.5652173913043478,0.46,0.72,0.2985,0,94,0.094
14,0.6086956521739131,0.46,0.72,0.2836,0,106,0.106
15,0.6521739130434783,0.44,0.77,0.2985,0,110,0.11
16,0.6956521739130435,0.42,0.82,0.2985,0,93,0.093
17,0.7391304347826086,0.44,0.82,0.2836,0,67,0.067
18,0.782608695652174,0.42,0.88,0.2537,0,35,0.035
19,0.8260869565217391,0.42,0.88,0.2537,0,37,0.037
20,0.8695652173913043,0.4,0.87,0.2537,0,36,0.036
21,0.9130434782608695,0.4,0.87,0.194,0,34,0.034
22,0.9565217391304348,0.4,0.94,0.2239,0,28,0.028
23,1.0,0.46,0.88,0.2985,0,39,0.039
0,0.0,0.46,0.88,0.2985,0,17,0.017
1,0.043478260869565216,0.44,0.94,0.2537,0,17,0.017
2,0.08695652173913043,0.42,1,0.2836,0,9,0.009
3,0.13043478260869565,0.46,0.94,0.194,0,6,0.006
4,0.17391304347826086,0.46,0.94,0.194,0,3,0.003
6,0.2608695652173913,0.42,0.77,0.2985,0,2,0.002
7,0.30434782608695654,0.4,0.76,0.194,0,1,0.001
